ds,yhat,yhat_lower,yhat_upper
2016-05-08,1297.8051259177191,-1528.6696993893784,4110.062478720995
2016-05-09,1512.3589043050124,-1285.483247760553,4267.135903919435
2016-05-10,939.325823053354,-1797.5828953655778,3778.1923571148745
2016-05-11,85.49866713767938,-2692.8947249262783,2678.134312098966
2016-05-12,1300.4689373694823,-1418.150686848819,4027.421862999802
2016-05-14,1213.4561584424498,-1429.5333772449476,3868.4841791684344
2016-05-15,1423.9758542945938,-1523.4211203066113,4012.2253129011924
2016-05-16,1662.7473933972697,-1087.0295565302056,4392.708909949299
2016-05-17,1111.834105031061,-1538.7227361117411,3799.7673282273417
2016-05-18,277.479730141207,-2400.9438810478127,2918.6504375581208
2016-05-19,1508.7953121056657,-1515.6256418080818,4182.993844307982
2016-05-20,1807.4053748515128,-649.7669870562444,4489.032551693222
2016-05-21,1443.583057450423,-1276.0276713485243,4175.751687656235
2016-05-22,1659.0379334201812,-879.7184142099769,4406.14040401342
2016-05-23,1898.588550133508,-878.7012412418605,4609.649891760351
2016-05-24,1344.2927490186191,-1366.8338802270814,3983.9769867698274
2016-05-25,502.4908361952341,-2266.2239492031663,3385.160702314259
2016-05-26,1722.4882392914897,-1002.0285831549523,4794.150261030979
2016-05-27,2006.194858824725,-712.2854995141917,4789.648205721123
2016-05-28,1624.2510126316024,-1150.3011090235661,4164.083946682313
2016-05-29,1818.8040993947777,-887.9690869265035,4547.398912422612
2016-05-30,2035.1681973458208,-573.9795865512161,4775.84408490954
2016-05-31,1455.940236879108,-1185.0386846237839,4287.496857613891
2016-06-02,1781.3181194766364,-1109.4356590016732,4593.170577168263
2016-06-03,2038.2984954427723,-607.4602174611606,4828.618607977988
2016-06-04,1630.1708492863077,-1127.0219504647805,4222.518808252008
2016-06-05,1799.6125599905606,-993.9667595234367,4549.990633908142
2016-06-06,1992.4236066895435,-590.4362440782323,4655.795378819615
2016-06-07,1391.6315075539708,-1144.2939125758928,3980.4609950278677
2016-06-09,1681.2394170986925,-1129.9817895128988,4600.280324922624
2016-06-10,1924.524630769225,-883.4914257966084,4740.527892608096
2016-06-11,1505.704194716747,-1272.0941025804686,4044.695223661227
